"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11"
1,2,4,3,4,4,0,2,3,3,4,2
2,0,1,0,2,2,0,0,0,3,1,1
3,1,4,4,4,3,3,3,2,3,4,2
4,1,3,1,1,1,2,1,2,0,2,2
5,0,2,3,1,1,1,0,1,3,3,0
6,0,0,0,0,0,1,0,0,0,0,0
7,1,2,2,0,2,2,2,2,1,1,0
8,1,0,2,2,0,0,1,2,4,0,1
9,2,1,1,2,0,3,3,2,2,1,1
10,0,2,2,1,1,1,2,0,1,2,0
11,2,2,2,1,1,1,0,3,2,3,2
12,1,0,2,2,3,0,3,2,2,1,1
13,2,1,0,3,0,2,2,3,2,0,1
14,3,0,0,0,1,4,3,3,0,2,4
15,2,0,0,0,1,0,0,0,0,0,0
16,4,2,2,2,4,3,4,3,3,2,4
17,4,2,3,3,4,3,2,3,2,2,3
18,3,2,2,4,3,2,2,3,1,3,2
19,1,0,2,2,2,0,2,0,1,2,2
20,4,2,2,2,1,3,4,2,1,2,3
21,2,1,1,2,0,3,2,0,2,0,2
22,3,1,2,1,2,2,3,3,2,1,2
23,2,0,0,0,0,1,1,1,0,0,2
24,3,4,4,4,4,4,4,4,4,4,3
25,1,2,0,1,2,2,2,3,1,3,3
26,4,4,4,3,3,3,4,3,4,4,2
27,4,4,4,4,4,3,4,3,4,4,4
28,1,2,3,4,4,0,2,2,2,2,2
29,4,2,2,3,1,4,3,2,0,2,4
30,2,4,4,4,4,1,2,4,4,4,3
31,3,2,1,2,0,3,1,1,0,2,2
32,2,2,3,1,1,4,1,2,4,2,2
33,1,3,1,2,4,2,0,2,1,3,2
34,4,2,3,1,4,3,2,2,3,3,2
35,0,4,4,3,4,0,2,3,2,4,0
36,3,3,2,4,2,2,2,3,3,4,4
37,3,2,3,1,3,3,2,2,3,3,1
38,0,4,3,3,4,0,0,2,3,1,0
39,3,4,3,2,3,2,3,3,2,4,2
40,1,2,1,1,2,0,0,2,1,3,1
41,1,0,0,0,0,4,3,0,0,0,3
42,2,2,2,4,2,2,2,2,2,4,4
43,0,1,1,1,0,1,1,0,2,2,1
44,3,0,1,1,1,4,3,4,0,2,4
45,2,1,1,0,0,1,1,0,2,1,0
46,4,4,2,2,3,3,4,4,3,2,4
47,3,2,1,2,2,4,4,3,4,1,2
48,1,1,3,0,3,2,1,1,1,0,1
49,1,4,3,2,1,2,1,4,2,2,3
50,4,3,3,2,4,4,3,2,3,3,2
51,0,2,1,0,3,0,0,0,2,0,0
52,2,1,2,0,1,2,0,2,3,1,2
53,2,3,0,1,3,0,0,1,2,1,1
54,2,2,3,3,4,3,2,2,3,2,1
55,0,3,1,1,2,3,1,1,2,3,2
56,2,0,1,1,2,2,1,2,1,1,4
57,0,1,2,0,1,0,1,0,0,1,1
58,0,2,0,1,1,0,1,3,1,2,1
59,2,1,2,1,2,2,4,3,2,0,4
60,0,2,0,0,1,3,2,2,0,1,3
61,0,1,4,3,2,0,1,1,2,2,1
62,2,2,3,3,2,0,2,2,3,2,2
63,1,2,1,2,2,1,4,2,2,1,3
64,2,1,1,2,2,1,2,3,0,2,3
65,0,0,1,0,1,0,1,0,0,0,1
66,2,1,1,0,0,2,1,3,1,0,3
67,0,1,1,2,0,0,0,1,1,0,0
68,4,2,3,3,3,4,3,4,3,2,3
69,0,2,3,2,0,2,0,1,2,1,1
70,3,3,2,2,3,2,1,3,3,2,2
71,2,4,3,4,4,2,2,4,4,3,0
72,3,2,1,1,3,3,4,2,2,1,3
73,3,4,4,3,4,2,3,3,4,4,2
74,0,2,2,3,2,0,0,1,4,2,0
75,1,2,1,4,2,3,3,2,3,2,3
76,1,2,0,2,1,1,2,0,1,0,1
77,4,3,4,4,3,4,4,3,4,2,3
78,2,2,1,1,4,3,2,2,3,3,3
79,2,2,1,3,2,1,1,2,2,3,0
80,2,4,4,4,4,1,3,2,4,4,2
81,1,1,1,1,3,1,3,1,0,0,0
82,3,2,4,3,4,4,3,4,4,2,4
83,1,0,0,0,1,2,1,2,1,1,1
84,0,1,1,2,2,0,0,0,1,1,1
85,2,0,1,2,1,2,4,2,2,2,2
86,3,3,3,3,3,4,3,3,2,4,3
87,2,3,3,2,4,4,2,2,3,3,2
88,2,2,2,4,1,0,0,2,2,2,2
89,3,4,3,3,2,3,1,4,3,3,1
90,4,3,4,4,4,4,4,4,4,4,4
91,2,0,0,0,0,0,3,0,0,0,2
92,2,4,3,4,2,4,2,3,4,4,3
93,0,0,3,0,1,2,3,2,0,2,2
94,3,2,2,2,2,4,4,4,2,3,4
95,0,2,2,1,2,0,0,0,0,3,0
96,0,1,3,2,2,0,0,2,3,4,1
97,2,0,2,2,2,1,1,0,0,1,0
98,2,2,2,2,0,1,0,2,3,2,0
99,2,0,0,0,0,3,2,2,0,0,1
100,3,3,3,3,1,3,1,3,2,3,1
101,2,4,4,3,4,3,1,4,3,4,3
102,1,3,3,1,2,1,2,0,1,3,1
103,4,2,1,1,2,3,3,2,4,0,2
104,2,2,1,1,0,2,1,0,0,1,2
105,3,2,2,2,4,4,3,3,3,2,4
106,2,2,4,3,2,2,3,3,3,3,4
107,0,0,0,1,0,3,2,0,0,0,2
108,4,4,4,4,4,2,4,2,4,4,4
109,3,1,0,0,0,3,2,1,0,0,3
110,0,1,0,1,2,2,0,1,0,1,1
111,2,4,0,0,0,0,0,0,0,0,0
112,2,3,1,1,2,0,0,1,1,1,1
113,0,2,3,4,4,0,2,0,3,3,2
114,4,2,2,2,4,3,3,2,2,2,3
115,1,1,1,2,3,1,2,1,1,1,1
116,3,1,1,1,1,3,2,1,3,0,2
117,0,1,2,2,2,2,2,2,3,2,1
118,2,4,4,4,3,4,1,4,4,4,3
119,4,4,4,4,2,4,4,3,4,3,4
120,0,2,1,2,2,1,2,0,0,1,0
121,4,2,3,3,4,4,4,4,2,4,3
122,2,4,4,4,4,2,4,4,4,4,3
123,2,3,3,2,3,1,2,2,4,2,2
124,1,4,4,2,4,1,3,3,3,4,1
125,1,1,0,0,0,0,0,0,0,0,1
126,2,2,2,4,2,2,3,2,2,2,3
127,1,2,4,3,2,1,1,2,3,0,0
128,2,1,3,3,2,1,1,2,2,2,1
129,2,2,3,2,3,1,1,3,2,4,1
130,2,3,4,3,4,0,2,3,4,4,2
131,2,2,1,2,2,1,3,1,2,2,1
132,4,4,4,4,4,4,4,4,4,4,4
133,3,4,3,3,2,1,3,4,3,3,3
134,3,2,2,2,1,2,2,2,1,3,2
135,4,2,0,1,0,3,4,1,2,0,4
136,2,2,2,0,3,2,2,3,1,1,3
137,1,0,1,2,2,0,0,2,2,3,0
138,1,4,4,4,4,0,1,3,4,4,1
139,2,2,2,2,2,4,4,3,3,3,2
140,2,2,1,2,3,4,3,2,2,2,2
141,3,0,1,1,0,4,3,2,1,3,4
142,1,3,2,3,2,1,2,2,2,2,2
143,3,4,3,3,1,3,3,3,4,4,2
144,3,0,1,1,0,2,3,1,0,0,2
145,4,3,4,4,2,2,3,3,4,3,2
146,1,3,0,1,0,1,1,1,0,2,2
147,1,1,3,0,2,2,0,1,3,3,1
148,4,1,2,4,3,3,2,4,2,4,4
149,2,2,4,4,2,2,0,2,3,3,3
150,1,1,1,1,1,0,0,1,1,0,1
151,1,2,4,3,1,1,0,2,1,2,0
152,3,1,0,1,0,4,4,2,2,1,3
153,1,4,3,4,4,3,4,4,2,3,4
154,2,2,3,1,2,2,3,3,2,4,2
155,3,4,3,1,2,3,1,3,4,2,0
156,3,3,3,3,2,3,4,4,3,3,3
157,2,0,1,1,2,0,1,0,1,1,1
158,0,0,1,2,1,2,2,1,2,0,2
159,2,1,0,2,0,2,2,1,0,2,3
160,1,3,3,4,4,0,2,4,4,4,0
161,4,2,3,3,1,3,4,2,2,1,4
162,2,0,0,1,1,1,2,0,1,1,2
163,0,3,3,1,3,1,0,2,3,1,0
164,4,1,2,3,1,4,3,3,2,2,4
165,1,2,1,0,1,2,2,3,1,2,2
166,3,0,1,2,0,2,3,2,3,1,3
167,4,3,1,0,2,2,3,3,2,2,3
168,4,0,1,0,1,2,3,1,1,0,3
169,3,0,1,0,0,2,2,1,2,0,2
170,2,1,2,3,0,1,1,2,2,4,2
171,1,1,3,2,1,1,1,2,1,1,2
172,1,0,2,1,0,0,1,1,3,3,0
173,4,3,3,3,3,2,3,4,4,3,4
