"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11","COST_FT12"
1,1,1,0,3,2,1,3,4,1,4,0,2
2,2,0,NA,3,4,0,2,1,1,0,2,2
3,4,NA,2,4,NA,2,4,0,NA,3,0,1
4,0,NA,NA,NA,1,0,3,NA,4,NA,2,1
5,3,NA,NA,NA,NA,0,2,NA,NA,3,0,0
6,1,0,0,3,1,3,4,4,1,2,4,4
7,1,4,1,0,1,3,0,4,3,1,1,4
8,1,0,0,4,0,2,3,4,0,4,2,4
9,4,2,1,3,2,4,3,2,2,3,3,4
10,4,4,3,1,2,3,2,0,0,4,1,4
11,3,0,3,3,0,4,3,1,1,2,1,4
12,4,2,2,2,0,3,2,2,3,1,4,1
13,2,1,0,4,3,4,4,1,0,4,0,1
14,3,3,0,0,3,2,4,1,0,4,4,3
15,2,1,2,0,0,1,1,0,2,1,3,1
16,2,0,2,1,1,3,4,2,3,1,0,0
17,1,0,0,4,0,3,1,1,0,3,1,3
18,4,1,2,4,0,1,1,4,1,1,3,0
19,3,2,0,3,2,4,2,0,4,3,0,0
20,1,4,4,4,2,0,0,1,1,4,4,1
21,1,2,0,1,1,0,1,3,1,1,1,2
22,4,2,0,4,4,0,4,1,1,1,3,0
23,3,0,0,1,4,4,2,0,0,0,1,2
24,4,4,3,1,4,2,4,4,0,0,0,1
25,4,4,4,3,0,3,4,1,4,1,2,3
26,0,0,1,2,3,2,1,0,0,4,3,3
27,3,3,2,3,3,1,0,4,1,4,2,4
28,4,2,2,2,0,0,4,2,3,1,4,3
29,0,1,2,0,3,1,1,0,4,3,0,2
30,4,1,1,0,0,1,4,0,2,0,2,3
31,1,2,4,4,4,2,4,4,2,3,3,4
32,0,4,0,4,4,2,2,4,2,1,0,3
33,2,4,2,2,0,1,1,4,0,2,0,2
34,1,3,1,2,3,1,0,4,2,3,3,4
35,4,2,2,2,4,2,3,0,3,2,1,3
36,4,3,3,4,4,0,4,2,4,0,3,2
37,2,4,0,2,0,1,1,1,1,1,4,4
38,4,1,0,0,2,0,4,1,2,4,3,4
39,3,2,4,4,0,2,4,1,3,2,2,0
40,0,3,0,2,4,2,3,0,1,4,3,2
41,0,4,0,4,2,4,3,3,4,3,4,1
42,2,3,2,0,3,4,4,0,0,1,0,1
43,4,1,2,4,3,2,1,3,3,4,3,0
44,4,2,1,0,3,3,1,0,2,4,0,1
45,0,4,0,3,0,1,0,3,4,1,4,1
46,3,3,1,2,0,2,3,2,1,0,0,3
47,0,2,1,0,4,1,3,0,4,3,1,1
48,3,3,1,4,1,2,4,4,0,4,4,1
49,0,4,4,3,0,4,1,2,4,1,1,2
50,0,1,0,4,2,1,4,2,3,3,4,2
51,3,0,0,3,4,2,0,0,4,2,4,2
52,4,1,1,1,2,4,2,1,1,0,0,0
53,3,2,0,1,4,4,1,3,4,4,1,3
54,4,3,0,3,1,4,0,1,1,0,0,3
55,2,4,2,0,2,0,2,1,1,4,3,0
56,0,2,0,2,3,2,2,1,1,3,1,4
57,3,3,2,1,1,0,2,1,1,0,2,0
58,2,0,0,3,4,0,1,3,1,1,2,0
59,0,3,1,0,3,0,4,0,0,4,3,0
60,0,4,4,3,1,3,3,1,3,4,0,0
61,3,4,2,3,4,0,1,1,1,2,4,0
62,4,3,3,1,0,0,3,3,3,3,4,4
63,0,4,3,3,2,3,1,4,1,4,2,1
64,2,3,2,4,3,2,3,0,3,3,0,1
65,3,4,1,1,2,3,3,2,2,3,2,0
66,0,0,1,2,4,3,4,1,1,4,2,1
67,4,2,1,0,3,0,1,2,3,1,1,0
68,4,4,3,0,3,3,4,0,1,2,1,1
69,3,1,4,3,0,3,0,4,3,1,3,4
70,4,0,0,1,3,2,3,0,0,0,1,0
71,4,2,0,3,1,0,2,0,3,4,2,1
72,0,3,3,4,2,0,1,2,3,4,0,4
73,1,1,0,2,1,2,0,0,1,0,4,2
74,3,4,3,3,2,4,0,1,2,4,1,2
75,2,3,1,1,2,4,3,0,0,3,1,2
76,4,1,4,2,1,3,2,0,1,2,2,1
77,2,0,2,4,1,4,0,4,3,0,0,4
78,4,4,2,3,0,1,1,0,0,2,2,3
79,0,1,0,3,0,4,1,1,1,4,1,1
80,2,2,0,3,3,0,2,2,1,3,0,1
81,4,2,0,0,0,4,3,3,1,2,4,2
82,1,2,1,0,1,1,4,1,0,1,2,3
83,3,2,0,2,2,4,2,1,0,2,4,1
84,1,2,1,1,2,0,2,3,0,1,1,1
85,0,0,1,0,1,0,3,1,2,1,3,1
86,3,4,1,1,2,2,1,0,3,3,1,2
87,1,3,0,2,2,2,3,4,2,0,0,1
88,3,1,1,4,0,1,0,0,4,1,2,4
89,4,4,3,4,2,4,2,2,1,3,0,1
90,1,2,0,3,3,1,0,4,0,1,1,4
91,3,1,1,3,4,4,2,0,3,3,1,1
92,4,0,2,2,4,4,4,2,4,1,4,0
93,2,2,4,0,4,3,3,2,2,4,1,0
94,0,1,0,4,3,2,0,3,1,0,2,4
95,0,2,2,2,2,3,1,1,0,1,2,4
96,0,0,4,2,4,2,3,0,0,1,0,1
97,0,0,3,0,3,2,4,2,1,1,2,1
98,0,4,4,1,2,3,2,4,4,1,0,3
99,4,3,3,1,0,2,0,3,0,3,3,2
100,3,4,4,4,3,4,3,0,0,4,2,3
101,2,3,2,0,0,3,3,2,1,3,3,0
102,4,0,2,0,0,4,0,3,3,1,2,0
103,1,0,2,1,1,2,2,1,0,4,0,2
104,3,3,1,2,1,3,2,2,3,0,2,0
105,3,0,4,0,3,0,3,0,4,3,1,4
106,0,4,1,1,0,1,2,0,3,4,4,2
107,2,1,0,4,1,0,1,4,1,1,3,4
108,1,4,0,3,3,2,4,1,4,2,1,3
