"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11","COST_FT12","COST_FT2_S","COST_FT3_S","COST_FT4_S","COST_FT5_S","COST_FT8_S","COST_FT9_S","COST_FT10_S","COST_FT1_S","COST_FT6_S","COST_FT7_S","COST_FT11_S","COST_N_ITEMS_ANSWERED","COST_ITEM_SUM","COST_GP_TOTAL","COST_PRORATED","COST_MISSING"
1,1,1,0,3,2,1,3,4,1,4,0,2,3,4,1,2,0,3,0,1,1,3,0,11,18,18,FALSE,FALSE
2,2,0,NA,3,4,0,2,1,1,0,2,2,4,NA,1,0,3,3,4,2,0,2,2,10,21,23.1,TRUE,FALSE
3,4,NA,2,4,NA,2,4,0,NA,3,0,1,NA,2,0,NA,4,NA,1,4,2,4,0,8,17,23.375,TRUE,FALSE
4,0,NA,NA,NA,1,0,3,NA,4,NA,2,1,NA,NA,NA,3,NA,0,NA,0,0,3,2,6,8,14.6666666666667,TRUE,FALSE
5,3,NA,NA,NA,NA,0,2,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,1,3,0,2,0,5,6,NA,FALSE,TRUE
6,1,0,0,3,1,3,4,4,1,2,4,4,4,4,1,3,0,3,2,1,3,4,4,11,29,29,FALSE,FALSE
7,1,4,1,0,1,3,0,4,3,1,1,4,0,3,4,3,0,1,3,1,3,0,1,11,19,19,FALSE,FALSE
8,1,0,0,4,0,2,3,4,0,4,2,4,4,4,0,4,0,4,0,1,2,3,2,11,24,24,FALSE,FALSE
9,4,2,1,3,2,4,3,2,2,3,3,4,2,3,1,2,2,2,1,4,4,3,3,11,27,27,FALSE,FALSE
10,4,4,3,1,2,3,2,0,0,4,1,4,0,1,3,2,4,4,0,4,3,2,1,11,24,24,FALSE,FALSE
11,3,0,3,3,0,4,3,1,1,2,1,4,4,1,1,4,3,3,2,3,4,3,1,11,29,29,FALSE,FALSE
12,4,2,2,2,0,3,2,2,3,1,4,1,2,2,2,4,2,1,3,4,3,2,4,11,29,29,FALSE,FALSE
13,2,1,0,4,3,4,4,1,0,4,0,1,3,4,0,1,3,4,0,2,4,4,0,11,25,25,FALSE,FALSE
14,3,3,0,0,3,2,4,1,0,4,4,3,1,4,4,1,3,4,0,3,2,4,4,11,30,30,FALSE,FALSE
15,2,1,2,0,0,1,1,0,2,1,3,1,3,2,4,4,4,2,3,2,1,1,3,11,29,29,FALSE,FALSE
16,2,0,2,1,1,3,4,2,3,1,0,0,4,2,3,3,2,1,3,2,3,4,0,11,27,27,FALSE,FALSE
17,1,0,0,4,0,3,1,1,0,3,1,3,4,4,0,4,3,4,1,1,3,1,1,11,26,26,FALSE,FALSE
18,4,1,2,4,0,1,1,4,1,1,3,0,3,2,0,4,0,3,3,4,1,1,3,11,24,24,FALSE,FALSE
19,3,2,0,3,2,4,2,0,4,3,0,0,2,4,1,2,4,0,1,3,4,2,0,11,23,23,FALSE,FALSE
20,1,4,4,4,2,0,0,1,1,4,4,1,0,0,0,2,3,3,0,1,0,0,4,11,13,13,FALSE,FALSE
21,1,2,0,1,1,0,1,3,1,1,1,2,2,4,3,3,1,3,3,1,0,1,1,11,22,22,FALSE,FALSE
22,4,2,0,4,4,0,4,1,1,1,3,0,2,4,0,0,3,3,3,4,0,4,3,11,26,26,FALSE,FALSE
23,3,0,0,1,4,4,2,0,0,0,1,2,4,4,3,0,4,4,4,3,4,2,1,11,33,33,FALSE,FALSE
24,4,4,3,1,4,2,4,4,0,0,0,1,0,1,3,0,0,4,4,4,2,4,0,11,22,22,FALSE,FALSE
25,4,4,4,3,0,3,4,1,4,1,2,3,0,0,1,4,3,0,3,4,3,4,2,11,24,24,FALSE,FALSE
26,0,0,1,2,3,2,1,0,0,4,3,3,4,3,2,1,4,4,0,0,2,1,3,11,24,24,FALSE,FALSE
27,3,3,2,3,3,1,0,4,1,4,2,4,1,2,1,1,0,3,0,3,1,0,2,11,14,14,FALSE,FALSE
28,4,2,2,2,0,0,4,2,3,1,4,3,2,2,2,4,2,1,3,4,0,4,4,11,28,28,FALSE,FALSE
29,0,1,2,0,3,1,1,0,4,3,0,2,3,2,4,1,4,0,1,0,1,1,0,11,17,17,FALSE,FALSE
30,4,1,1,0,0,1,4,0,2,0,2,3,3,3,4,4,4,2,4,4,1,4,2,11,35,35,FALSE,FALSE
31,1,2,4,4,4,2,4,4,2,3,3,4,2,0,0,0,0,2,1,1,2,4,3,11,15,15,FALSE,FALSE
32,0,4,0,4,4,2,2,4,2,1,0,3,0,4,0,0,0,2,3,0,2,2,0,11,13,13,FALSE,FALSE
33,2,4,2,2,0,1,1,4,0,2,0,2,0,2,2,4,0,4,2,2,1,1,0,11,18,18,FALSE,FALSE
34,1,3,1,2,3,1,0,4,2,3,3,4,1,3,2,1,0,2,1,1,1,0,3,11,15,15,FALSE,FALSE
35,4,2,2,2,4,2,3,0,3,2,1,3,2,2,2,0,4,1,2,4,2,3,1,11,23,23,FALSE,FALSE
36,4,3,3,4,4,0,4,2,4,0,3,2,1,1,0,0,2,0,4,4,0,4,3,11,19,19,FALSE,FALSE
37,2,4,0,2,0,1,1,1,1,1,4,4,0,4,2,4,3,3,3,2,1,1,4,11,27,27,FALSE,FALSE
38,4,1,0,0,2,0,4,1,2,4,3,4,3,4,4,2,3,2,0,4,0,4,3,11,29,29,FALSE,FALSE
39,3,2,4,4,0,2,4,1,3,2,2,0,2,0,0,4,3,1,2,3,2,4,2,11,23,23,FALSE,FALSE
40,0,3,0,2,4,2,3,0,1,4,3,2,1,4,2,0,4,3,0,0,2,3,3,11,22,22,FALSE,FALSE
41,0,4,0,4,2,4,3,3,4,3,4,1,0,4,0,2,1,0,1,0,4,3,4,11,19,19,FALSE,FALSE
42,2,3,2,0,3,4,4,0,0,1,0,1,1,2,4,1,4,4,3,2,4,4,0,11,29,29,FALSE,FALSE
43,4,1,2,4,3,2,1,3,3,4,3,0,3,2,0,1,1,1,0,4,2,1,3,11,18,18,FALSE,FALSE
44,4,2,1,0,3,3,1,0,2,4,0,1,2,3,4,1,4,2,0,4,3,1,0,11,24,24,FALSE,FALSE
45,0,4,0,3,0,1,0,3,4,1,4,1,0,4,1,4,1,0,3,0,1,0,4,11,18,18,FALSE,FALSE
46,3,3,1,2,0,2,3,2,1,0,0,3,1,3,2,4,2,3,4,3,2,3,0,11,27,27,FALSE,FALSE
47,0,2,1,0,4,1,3,0,4,3,1,1,2,3,4,0,4,0,1,0,1,3,1,11,19,19,FALSE,FALSE
48,3,3,1,4,1,2,4,4,0,4,4,1,1,3,0,3,0,4,0,3,2,4,4,11,24,24,FALSE,FALSE
