Factor,Item,Loading
GeneralFinancialSituation,COST_FT1,0.794221227593044
GeneralFinancialSituation,COST_FT6,0.8032572931301778
GeneralFinancialSituation,COST_FT7,0.7756727603585203
GeneralFinancialSituation,COST_FT11,0.8299686387178843
MedicalCareFinancialImpact,COST_FT2,0.7741648755470565
MedicalCareFinancialImpact,COST_FT3,0.8444484399556237
MedicalCareFinancialImpact,COST_FT4,0.7526443490692689
MedicalCareFinancialImpact,COST_FT5,0.7959606473389756
MedicalCareFinancialImpact,COST_FT9,0.7685518118414596
MedicalCareFinancialImpact,COST_FT10,0.8026630241446072
GeneralFinancialSituation,COST_FT8,0.4372922563481435
MedicalCareFinancialImpact,COST_FT8,0.5670950565864943
